cid,compound_id,herb_id,herb_name,evidence_tier,accepted_evidence_sources,tcmsp_mol_ids,evidence_record_count,source_snapshot,adjudication_status
11975273,CMP-PUBCHEM-11975273,HERB-0396,薏苡仁,primary_direct,TCMSP_molecule_page_snapshot,MOL002372,1,2025-07-18,accepted_direct_relation
11975273,CMP-PUBCHEM-11975273,HERB-0401,虎耳草,primary_direct,TCMSP_molecule_page_snapshot,MOL002372,1,2025-07-18,accepted_direct_relation
11975273,CMP-PUBCHEM-11975273,HERB-0499,鼠曲草,primary_direct,TCMSP_molecule_page_snapshot,MOL002372,1,2025-07-18,accepted_direct_relation
11975273,CMP-PUBCHEM-11975273,HERB-0501,龙脷叶,primary_direct,TCMSP_molecule_page_snapshot,MOL002372,1,2025-07-18,accepted_direct_relation
11996452,CMP-PUBCHEM-11996452,HERB-0192,椿皮,primary_direct,TCMSP_molecule_page_snapshot,MOL004419,1,2025-07-18,accepted_direct_relation
11996452,CMP-PUBCHEM-11996452,HERB-0206,沉香,primary_direct,TCMSP_molecule_page_snapshot,MOL004419,1,2025-07-18,accepted_direct_relation
11996452,CMP-PUBCHEM-11996452,HERB-0222,淫羊藿,primary_direct,TCMSP_molecule_page_snapshot,MOL004419,1,2025-07-18,accepted_direct_relation
11996452,CMP-PUBCHEM-11996452,HERB-0250,玳玳花,primary_direct,TCMSP_molecule_page_snapshot,MOL004419,1,2025-07-18,accepted_direct_relation
11996452,CMP-PUBCHEM-11996452,HERB-0255,甘松,primary_direct,TCMSP_molecule_page_snapshot,MOL004419,1,2025-07-18,accepted_direct_relation
11996452,CMP-PUBCHEM-11996452,HERB-0259,生姜,primary_direct,TCMSP_molecule_page_snapshot,MOL004419,1,2025-07-18,accepted_direct_relation
11996452,CMP-PUBCHEM-11996452,HERB-0289,矮地茶,primary_direct,TCMSP_molecule_page_snapshot,MOL004419,1,2025-07-18,accepted_direct_relation
11996452,CMP-PUBCHEM-11996452,HERB-0308,紫苏,primary_direct,TCMSP_molecule_page_snapshot,MOL004419,1,2025-07-18,accepted_direct_relation
11996452,CMP-PUBCHEM-11996452,HERB-0367,荔枝核,primary_direct,TCMSP_molecule_page_snapshot,MOL004419,1,2025-07-18,accepted_direct_relation
11996452,CMP-PUBCHEM-11996452,HERB-0377,菊花,primary_direct,TCMSP_molecule_page_snapshot,MOL004419,1,2025-07-18,accepted_direct_relation
12002600,CMP-PUBCHEM-12002600,HERB-0178,柴胡,primary_direct,TCMSP_molecule_page_snapshot,MOL004602,1,2025-07-18,accepted_direct_relation
12004524,CMP-PUBCHEM-12004524,HERB-0038,关黄柏,primary_direct,TCMSP_molecule_page_snapshot,MOL006276,1,2025-07-18,accepted_direct_relation
12004524,CMP-PUBCHEM-12004524,HERB-0192,椿皮,primary_direct,TCMSP_molecule_page_snapshot,MOL006276,1,2025-07-18,accepted_direct_relation
12004524,CMP-PUBCHEM-12004524,HERB-0490,黄柏,primary_direct,TCMSP_molecule_page_snapshot,MOL006276,1,2025-07-18,accepted_direct_relation
12095091,CMP-PUBCHEM-12095091,HERB-0010,两面针,primary_direct,TCMSP_molecule_page_snapshot,MOL005087,1,2025-07-18,accepted_direct_relation
12095091,CMP-PUBCHEM-12095091,HERB-0029,佛手,primary_direct,TCMSP_molecule_page_snapshot,MOL005087,1,2025-07-18,accepted_direct_relation
12095091,CMP-PUBCHEM-12095091,HERB-0370,荠菜,primary_direct,TCMSP_molecule_page_snapshot,MOL005087,1,2025-07-18,accepted_direct_relation
12219153,CMP-PUBCHEM-12219153,HERB-0135,川贝母,primary_direct,TCMSP_molecule_page_snapshot,MOL002687,1,2025-07-18,accepted_direct_relation
12219153,CMP-PUBCHEM-12219153,HERB-0314,红花,primary_direct,TCMSP_molecule_page_snapshot,MOL002687,1,2025-07-18,accepted_direct_relation
12263096,CMP-PUBCHEM-12263096,HERB-0256,甘草,primary_direct,TCMSP_molecule_page_snapshot,MOL004970,1,2025-07-18,accepted_direct_relation
12263096,CMP-PUBCHEM-12263096,HERB-0377,菊花,primary_direct,TCMSP_molecule_page_snapshot,MOL004970,1,2025-07-18,accepted_direct_relation
12299190,CMP-PUBCHEM-12299190,HERB-0045,凌霄花,primary_direct,TCMSP_molecule_page_snapshot,MOL012359,1,2025-07-18,accepted_direct_relation
12299190,CMP-PUBCHEM-12299190,HERB-0259,生姜,primary_direct,TCMSP_molecule_page_snapshot,MOL012359,1,2025-07-18,accepted_direct_relation
12299191,CMP-PUBCHEM-12299191,HERB-0332,胡椒,primary_direct,TCMSP_molecule_page_snapshot,MOL002832,1,2025-07-18,accepted_direct_relation
12299191,CMP-PUBCHEM-12299191,HERB-0377,菊花,primary_direct,TCMSP_molecule_page_snapshot,MOL002832,1,2025-07-18,accepted_direct_relation
12299876,CMP-PUBCHEM-12299876,HERB-0266,白术,primary_direct,TCMSP_molecule_page_snapshot,MOL000046,1,2025-07-18,accepted_direct_relation
12300041,CMP-PUBCHEM-12300041,HERB-0183,桃仁,primary_direct,TCMSP_molecule_page_snapshot,MOL001373,1,2025-07-18,accepted_direct_relation
12300069,CMP-PUBCHEM-12300069,HERB-0209,没药,primary_direct,TCMSP_molecule_page_snapshot,MOL001204,1,2025-07-18,accepted_direct_relation
12300073,CMP-PUBCHEM-12300073,HERB-0112,姜黄,primary_direct,TCMSP_molecule_page_snapshot,MOL000967,1,2025-07-18,accepted_direct_relation
12300073,CMP-PUBCHEM-12300073,HERB-0145,当归,primary_direct,TCMSP_molecule_page_snapshot,MOL000967,1,2025-07-18,accepted_direct_relation
12302130,CMP-PUBCHEM-12302130,HERB-0021,人参,primary_direct,TCMSP_molecule_page_snapshot,MOL004174,1,2025-07-18,accepted_direct_relation
12302130,CMP-PUBCHEM-12302130,HERB-0053,北五味子,primary_direct,TCMSP_molecule_page_snapshot,MOL004174,1,2025-07-18,accepted_direct_relation
12302130,CMP-PUBCHEM-12302130,HERB-0412,豨莶草,primary_direct,TCMSP_molecule_page_snapshot,MOL004174,1,2025-07-18,accepted_direct_relation
12302190,CMP-PUBCHEM-12302190,HERB-0309,紫苏子,primary_direct,TCMSP_molecule_page_snapshot,MOL012884,1,2025-07-18,accepted_direct_relation
12302223,CMP-PUBCHEM-12302223,HERB-0171,枇杷叶,primary_direct,TCMSP_molecule_page_snapshot,MOL006288,1,2025-07-18,accepted_direct_relation
12302223,CMP-PUBCHEM-12302223,HERB-0192,椿皮,primary_direct,TCMSP_molecule_page_snapshot,MOL006288,1,2025-07-18,accepted_direct_relation
12302223,CMP-PUBCHEM-12302223,HERB-0289,矮地茶,primary_direct,TCMSP_molecule_page_snapshot,MOL006288,1,2025-07-18,accepted_direct_relation
12302226,CMP-PUBCHEM-12302226,HERB-0235,牡荆叶,primary_direct,TCMSP_molecule_page_snapshot,MOL011898,1,2025-07-18,accepted_direct_relation
12302227,CMP-PUBCHEM-12302227,HERB-0178,柴胡,primary_direct,TCMSP_molecule_page_snapshot,MOL004707,1,2025-07-18,accepted_direct_relation
12302227,CMP-PUBCHEM-12302227,HERB-0182,桂枝,primary_direct,TCMSP_molecule_page_snapshot,MOL004707,1,2025-07-18,accepted_direct_relation
12302227,CMP-PUBCHEM-12302227,HERB-0259,生姜,primary_direct,TCMSP_molecule_page_snapshot,MOL004707,1,2025-07-18,accepted_direct_relation
12302227,CMP-PUBCHEM-12302227,HERB-0308,紫苏,primary_direct,TCMSP_molecule_page_snapshot,MOL004707,1,2025-07-18,accepted_direct_relation
12302243,CMP-PUBCHEM-12302243,HERB-0051,功劳木,primary_direct,TCMSP_molecule_page_snapshot,MOL003573,1,2025-07-18,accepted_direct_relation
12302243,CMP-PUBCHEM-12302243,HERB-0125,山茱萸,primary_direct,TCMSP_molecule_page_snapshot,MOL003573,1,2025-07-18,accepted_direct_relation
12302243,CMP-PUBCHEM-12302243,HERB-0178,柴胡,primary_direct,TCMSP_molecule_page_snapshot,MOL003573,1,2025-07-18,accepted_direct_relation
12302243,CMP-PUBCHEM-12302243,HERB-0182,桂枝,primary_direct,TCMSP_molecule_page_snapshot,MOL003573,1,2025-07-18,accepted_direct_relation
12302243,CMP-PUBCHEM-12302243,HERB-0192,椿皮,primary_direct,TCMSP_molecule_page_snapshot,MOL003573,1,2025-07-18,accepted_direct_relation
12302243,CMP-PUBCHEM-12302243,HERB-0289,矮地茶,primary_direct,TCMSP_molecule_page_snapshot,MOL003573,1,2025-07-18,accepted_direct_relation
12302243,CMP-PUBCHEM-12302243,HERB-0292,石菖蒲,primary_direct,TCMSP_molecule_page_snapshot,MOL003573,1,2025-07-18,accepted_direct_relation
12302243,CMP-PUBCHEM-12302243,HERB-0295,砂仁,primary_direct,TCMSP_molecule_page_snapshot,MOL003573,1,2025-07-18,accepted_direct_relation
12302243,CMP-PUBCHEM-12302243,HERB-0377,菊花,primary_direct,TCMSP_molecule_page_snapshot,MOL003573,1,2025-07-18,accepted_direct_relation
12302243,CMP-PUBCHEM-12302243,HERB-0421,辛夷,primary_direct,TCMSP_molecule_page_snapshot,MOL003573,1,2025-07-18,accepted_direct_relation
12302243,CMP-PUBCHEM-12302243,HERB-0427,郁金,primary_direct,TCMSP_molecule_page_snapshot,MOL003573,1,2025-07-18,accepted_direct_relation
12302243,CMP-PUBCHEM-12302243,HERB-0488,麻黄,primary_direct,TCMSP_molecule_page_snapshot,MOL003573,1,2025-07-18,accepted_direct_relation
12302318,CMP-PUBCHEM-12302318,HERB-0311,紫菀,primary_direct,TCMSP_molecule_page_snapshot,MOL010475,1,2025-07-18,accepted_direct_relation
12302323,CMP-PUBCHEM-12302323,HERB-0311,紫菀,primary_direct,TCMSP_molecule_page_snapshot,MOL010479,1,2025-07-18,accepted_direct_relation
12303645,CMP-PUBCHEM-12303645,HERB-0001,一枝黄花,primary_direct,TCMSP_molecule_page_snapshot,MOL000359,1,2025-07-18,accepted_direct_relation
12303645,CMP-PUBCHEM-12303645,HERB-0009,两头尖,primary_direct,TCMSP_molecule_page_snapshot,MOL000359,1,2025-07-18,accepted_direct_relation
12303645,CMP-PUBCHEM-12303645,HERB-0010,两面针,primary_direct,TCMSP_molecule_page_snapshot,MOL000359,1,2025-07-18,accepted_direct_relation
12303645,CMP-PUBCHEM-12303645,HERB-0014,乌药,primary_direct,TCMSP_molecule_page_snapshot,MOL000359,1,2025-07-18,accepted_direct_relation
12303645,CMP-PUBCHEM-12303645,HERB-0019,亚麻子,primary_direct,TCMSP_molecule_page_snapshot,MOL000359,1,2025-07-18,accepted_direct_relation
12303645,CMP-PUBCHEM-12303645,HERB-0022,人参叶,primary_direct,TCMSP_molecule_page_snapshot,MOL000359,1,2025-07-18,accepted_direct_relation
12303645,CMP-PUBCHEM-12303645,HERB-0027,伸筋草,primary_direct,TCMSP_molecule_page_snapshot,MOL000359,1,2025-07-18,accepted_direct_relation
12303645,CMP-PUBCHEM-12303645,HERB-0030,佩兰,primary_direct,TCMSP_molecule_page_snapshot,MOL000359,1,2025-07-18,accepted_direct_relation
12303645,CMP-PUBCHEM-12303645,HERB-0039,冬瓜子,primary_direct,TCMSP_molecule_page_snapshot,MOL000359,1,2025-07-18,accepted_direct_relation
12303645,CMP-PUBCHEM-12303645,HERB-0049,刀豆,primary_direct,TCMSP_molecule_page_snapshot,MOL000359,1,2025-07-18,accepted_direct_relation
12303645,CMP-PUBCHEM-12303645,HERB-0050,前胡,primary_direct,TCMSP_molecule_page_snapshot,MOL000359,1,2025-07-18,accepted_direct_relation
12303645,CMP-PUBCHEM-12303645,HERB-0062,千金子,primary_direct,TCMSP_molecule_page_snapshot,MOL000359,1,2025-07-18,accepted_direct_relation
12303645,CMP-PUBCHEM-12303645,HERB-0063,升麻,primary_direct,TCMSP_molecule_page_snapshot,MOL000359,1,2025-07-18,accepted_direct_relation
12303645,CMP-PUBCHEM-12303645,HERB-0065,半枝莲,primary_direct,TCMSP_molecule_page_snapshot,MOL000359,1,2025-07-18,accepted_direct_relation
12303645,CMP-PUBCHEM-12303645,HERB-0070,南瓜子,primary_direct,TCMSP_molecule_page_snapshot,MOL000359,1,2025-07-18,accepted_direct_relation
12303645,CMP-PUBCHEM-12303645,HERB-0071,南蛇藤果,primary_direct,TCMSP_molecule_page_snapshot,MOL000359,1,2025-07-18,accepted_direct_relation
12303645,CMP-PUBCHEM-12303645,HERB-0075,吴茱萸,primary_direct,TCMSP_molecule_page_snapshot,MOL000359,1,2025-07-18,accepted_direct_relation
12303645,CMP-PUBCHEM-12303645,HERB-0078,土茯苓,primary_direct,TCMSP_molecule_page_snapshot,MOL000359,1,2025-07-18,accepted_direct_relation
12303645,CMP-PUBCHEM-12303645,HERB-0080,土贝母,primary_direct,TCMSP_molecule_page_snapshot,MOL000359,1,2025-07-18,accepted_direct_relation
12303645,CMP-PUBCHEM-12303645,HERB-0083,地耳草,primary_direct,TCMSP_molecule_page_snapshot,MOL000359,1,2025-07-18,accepted_direct_relation
12303645,CMP-PUBCHEM-12303645,HERB-0085,地锦草,primary_direct,TCMSP_molecule_page_snapshot,MOL000359,1,2025-07-18,accepted_direct_relation
12303645,CMP-PUBCHEM-12303645,HERB-0093,大皂荚,primary_direct,TCMSP_molecule_page_snapshot,MOL000359,1,2025-07-18,accepted_direct_relation
12303645,CMP-PUBCHEM-12303645,HERB-0096,大蓟,primary_direct,TCMSP_molecule_page_snapshot,MOL000359,1,2025-07-18,accepted_direct_relation
12303645,CMP-PUBCHEM-12303645,HERB-0097,大血藤,primary_direct,TCMSP_molecule_page_snapshot,MOL000359,1,2025-07-18,accepted_direct_relation
12303645,CMP-PUBCHEM-12303645,HERB-0504,天仙藤,primary_direct,TCMSP_molecule_page_snapshot,MOL000359,1,2025-07-18,accepted_direct_relation
12303645,CMP-PUBCHEM-12303645,HERB-0103,天冬,primary_direct,TCMSP_molecule_page_snapshot,MOL000359,1,2025-07-18,accepted_direct_relation
12303645,CMP-PUBCHEM-12303645,HERB-0104,天南星,primary_direct,TCMSP_molecule_page_snapshot,MOL000359,1,2025-07-18,accepted_direct_relation
12303645,CMP-PUBCHEM-12303645,HERB-0114,娑罗子,primary_direct,TCMSP_molecule_page_snapshot,MOL000359,1,2025-07-18,accepted_direct_relation
12303645,CMP-PUBCHEM-12303645,HERB-0117,寻骨风,primary_direct,TCMSP_molecule_page_snapshot,MOL000359,1,2025-07-18,accepted_direct_relation
