provenance_record_id,cid,compound_id,herb_id,herb_name,tcmsp_mol_id,evidence_tier,match_confidence,match_method,source_database,source_locator,source_snapshot,adjudication_status
TCMSP-ADJ-0008262,114829,CMP-PUBCHEM-114829,HERB-0004,三七,MOL001792,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=1030;herb_position=9,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008263,114829,CMP-PUBCHEM-114829,HERB-0087,垂盆草,MOL001792,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=1030;herb_position=2,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008264,114829,CMP-PUBCHEM-114829,HERB-0170,板蓝根,MOL001792,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=1030;herb_position=1,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008265,114829,CMP-PUBCHEM-114829,HERB-0222,淫羊藿,MOL001792,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=1030;herb_position=10,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008266,114829,CMP-PUBCHEM-114829,HERB-0224,漏芦,MOL001792,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=1030;herb_position=8,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008267,114829,CMP-PUBCHEM-114829,HERB-0256,甘草,MOL001792,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=1030;herb_position=3,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008268,114829,CMP-PUBCHEM-114829,HERB-0313,红芪,MOL001792,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=1030;herb_position=5,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008269,114829,CMP-PUBCHEM-114829,HERB-0385,葛花,MOL001792,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=1030;herb_position=4,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008270,114829,CMP-PUBCHEM-114829,HERB-0449,降香,MOL001792,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=1030;herb_position=7,2025-07-18,accepted_direct_relation
TCMSP-ADJ-0008271,114829,CMP-PUBCHEM-114829,HERB-0491,黄精,MOL001792,primary_direct,direct_source_identifier_relation,direct_pubchem_cid_and_herb_relation_from_TCMSP_molecule_page,TCMSP,tcmsp_molecules.csv#row=1030;herb_position=6,2025-07-18,accepted_direct_relation
