cid,has_tcmsp_mapping,herb_count,herb_names,tcmsp_mol_id_count,tcmsp_mol_ids,unique_edge_count,evidence_tiers,provenance_status
8468,1,84,云芝 | 佛手 | 八角莲 | 凤仙透骨草 | 前胡 | 功劳木 | 北沙参 | 半夏 | 半枝莲 | 南蛇藤果 | 卷柏 | 土荆皮 | 地耳草 | 大血藤 | 天葵子 | 威灵仙 | 安息香 | 密蒙花 | 寻骨风 | 山豆根 | 川芎 | 广枣 | 延胡索 | 月季花 | 木贼 | 木通 | 杜仲 | 枳椇子 | 桑叶 | 桑白皮 | 水红花子 | 海金沙 | 满山红 | 牡丹皮 | 牡荆子 | 猕猴桃根 | 玄参 | 玉米须 | 瓜蒌 | 生姜 | 白毛藤 | 白茅根 | 百部 | 石菖蒲 | 石韦 | 砂仁 | 红芪 | 罗汉果 | 羌活 | 肿节风 | 胡黄连 | 芦根 | 花生衣 | 苍术 | 苦楝子 | 草果 | 菝葜 | 萱草根 | 葱白 | 蒺藜 | 蔓荆子 | 蕤仁 | 覆盆子 | 贯叶金丝桃 | 赤芍 | 车前草 | 辣椒 | 连翘 | 郁李仁 | 郁金 | 金沸草 | 金莲花 | 银杏叶 | 银柴胡 | 防风 | 香附 | 马兜铃 | 麦芽 | 麻黄 | 麻黄根 | 黄芪 | 黄药子 | 黄连 | 龙葵,1,MOL000114,84,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8487,1,1,千斤拔,1,MOL000670,1,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8512,1,2,前胡 | 巴戟天,1,MOL009506,2,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8550,1,1,贯众,1,MOL002609,1,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8554,1,8,枇杷叶 | 枸骨叶 | 柴胡 | 甘草 | 砂仁 | 肿节风 | 薄荷 | 黄芩,1,MOL005021,8,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8559,1,1,白芍,1,MOL001892,1,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8564,1,1,罂粟壳,1,MOL009329,1,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8575,1,5,天山雪莲 | 罗汉果 | 荆芥 | 郁金 | 麻黄,1,MOL004285,5,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8601,1,1,决明子,1,MOL006451,1,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
8635,1,3,化橘红 | 吴茱萸 | 葛花,1,MOL004011,3,primary_direct,adjudicated_TCMSP_relation_set_v1.1.0
